Country,Localite,Category,Value,Date,Sources,Link
Guinea,"Guekedou, Macenta, Nzerekore and Kissidougou",Cases,86,3/24/14,WHO,http://reliefweb.int/sites/reliefweb.int/files/resources/guinea_ebola_20140324-2.pdf
Guinea,"Guekedou, Macenta, Nzerekore and Kissidougou",Deaths,59,3/24/14,WHO,http://reliefweb.int/sites/reliefweb.int/files/resources/guinea_ebola_20140324-2.pdf
Guinea,"( Guekedou, Macenta and Kissidougou",Cases,86,3/25/14,WHO,http://reliefweb.int/sites/reliefweb.int/files/resources/guinea_ebola_20140325.pdf
Guinea,"( Guekedou, Macenta and Kissidougou",Deaths,60,3/25/14,WHO,http://reliefweb.int/sites/reliefweb.int/files/resources/guinea_ebola_20140325.pdf
Guinea,"( Guekedou, Macenta and Kissidougou",Cases,86,3/26/14,WHO,http://reliefweb.int/report/guinea/fi-vre-h-morragique-virus-ebola-en-guin-e-mise-jour-26-mars-2014
Guinea,"( Guekedou, Macenta and Kissidougou)",Deaths,62,3/26/14,WHO,http://reliefweb.int/report/guinea/fi-vre-h-morragique-virus-ebola-en-guin-e-mise-jour-26-mars-2014
Guinea,"( Guekedou, Macenta and Kissidougou)",Cases,103,3/27/14,WHO,http://reliefweb.int/report/guinea/ebola-haemorrhagic-fever-guinea-situation-27-march-2014
Guinea,"( Guekedou, Macenta and Kissidougou)",Deaths,66,3/27/14,WHO,http://reliefweb.int/report/guinea/ebola-haemorrhagic-fever-guinea-situation-27-march-2014
Guinea,"( Guekedou, Macenta,Kissidougou,Lofa,Kankan and Conakry)",Deaths,70,3/28/14,WHO,http://reliefweb.int/report/guinea/situation-de-la-fi-vre-virale-h-morragique-ebola-en-guin-e-au-30-mars-2014
Guinea,Conakry,Suspected cases,5,3/28/14,ECHO,http://reliefweb.int/sites/reliefweb.int/files/resources/ECDM_20140328_WestAfrica_EbolaOutbreak.pdf
Guinea,Gueckedou,Suspected cases,69,3/28/14,ECHO,http://reliefweb.int/sites/reliefweb.int/files/resources/ECDM_20140328_WestAfrica_EbolaOutbreak.pdf
Guinea,Kankan,Suspected cases,1,3/28/14,ECHO,http://reliefweb.int/sites/reliefweb.int/files/resources/ECDM_20140328_WestAfrica_EbolaOutbreak.pdf
