Indicator,Country,Date,value
Cumulative number of confirmed Ebola cases,Guinea,2014-08-29,482
Cumulative number of probable Ebola cases,Guinea,2014-08-29,141
Cumulative number of suspected Ebola cases,Guinea,2014-08-29,25
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-08-29,648
Cumulative number of confirmed Ebola cases,Liberia,2014-08-29,322
Cumulative number of probable Ebola cases,Liberia,2014-08-29,674
Cumulative number of suspected Ebola cases,Liberia,2014-08-29,382
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-08-29,1378
Cumulative number of confirmed Ebola cases,Sierra Leone,2014-08-29,935
Cumulative number of probable Ebola cases,Sierra Leone,2014-08-29,37
Cumulative number of suspected Ebola cases,Sierra Leone,2014-08-29,54
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-08-29,1026
Cumulative number of confirmed Ebola cases,Nigeria,2014-08-29,15
Cumulative number of probable Ebola cases,Nigeria,2014-08-29,1
Cumulative number of suspected Ebola cases,Nigeria,2014-08-29,3
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-08-29,19
Number of confirmed Ebola cases in the last 21 days,Guinea,2014-08-29,131
Number of probable Ebola cases in the last 21 days,Guinea,2014-08-29,7
Number of suspected Ebola cases in the last 21 days,Guinea,2014-08-29,20
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2014-08-29,158
Number of confirmed Ebola cases in the last 21 days,Liberia,2014-08-29,192
Number of probable Ebola cases in the last 21 days,Liberia,2014-08-29,423
Number of suspected Ebola cases in the last 21 days,Liberia,2014-08-29,251
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,2014-08-29,866
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,2014-08-29,308
Number of probable Ebola cases in the last 21 days,Sierra Leone,2014-08-29,4
Number of suspected Ebola cases in the last 21 days,Sierra Leone,2014-08-29,19
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,2014-08-29,331
Number of confirmed Ebola cases in the last 21 days,Nigeria,2014-08-29,6
Number of probable Ebola cases in the last 21 days,Nigeria,2014-08-29,1
Number of suspected Ebola cases in the last 21 days,Nigeria,2014-08-29,3
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Nigeria,2014-08-29,10
Proportion of confirmed Ebola cases that are from the last 21 days,Guinea,2014-08-29,27
Proportion of probable Ebola cases that are from the last 21 days,Guinea,2014-08-29,5
Proportion of suspected Ebola cases that are from the last 21 days,Guinea,2014-08-29,80
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Guinea,2014-08-29,24
Proportion of confirmed Ebola cases that are from the last 21 days,Liberia,2014-08-29,60
Proportion of probable Ebola cases that are from the last 21 days,Liberia,2014-08-29,63
Proportion of suspected Ebola cases that are from the last 21 days,Liberia,2014-08-29,66
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Liberia,2014-08-29,63
Proportion of confirmed Ebola cases that are from the last 21 days,Sierra Leone,2014-08-29,33
Proportion of probable Ebola cases that are from the last 21 days,Sierra Leone,2014-08-29,11
Proportion of suspected Ebola cases that are from the last 21 days,Sierra Leone,2014-08-29,35
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Sierra Leone,2014-08-29,32
Proportion of confirmed Ebola cases that are from the last 21 days,Nigeria,2014-08-29,40
Proportion of probable Ebola cases that are from the last 21 days,Nigeria,2014-08-29,100
Proportion of suspected Ebola cases that are from the last 21 days,Nigeria,2014-08-29,100
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Nigeria,2014-08-29,53
Cumulative number of confirmed Ebola deaths,Guinea,2014-08-29,287
