Country;Case def;Total cases;Date;;;;;
Guinea;Confirmed;45;07-09-14;;;;;
Guinea;Probable;8;07-09-14;;;;;
Guinea;Suspected;1;07-09-14;;;;;
Guinea;All;54;07-09-14;;;;;
Liberia;Confirmed;63;07-09-14;;;;;
Liberia;Probable;80;07-09-14;;;;;
Liberia;Suspected;19;07-09-14;;;;;
Liberia;All;162;07-09-14;;;;;
Sierra Leone;Confirmed;71;07-09-14;;;;;
Sierra Leone;Probable;1;07-09-14;;;;;
Sierra Leone;Suspected;2;07-09-14;;;;;
Sierra Leone;All;74;07-09-14;;;;;
Guinea;Confirmed;52;14-09-14;;;;;
Guinea;Probable;8;14-09-14;;;;;
Guinea;Suspected;1;14-09-14;;;;;
Guinea;All;61;14-09-14;;;;;
Liberia;Confirmed;66;14-09-14;;;;;
Liberia;Probable;85;14-09-14;;;;;
Liberia;Suspected;21;14-09-14;;;;;
Liberia;All;172;14-09-14;;;;;
Nigeria;Confirmed;11;14-09-14;;;;;
Nigeria;Probable;0;14-09-14;;;;;
Nigeria;Suspected;0;14-09-14;;;;;
Nigeria;All;11;14-09-14;;;;;
Sierra Leone;Confirmed;71;14-09-14;;;;;
Sierra Leone;Probable;1;14-09-14;;;;;
Sierra Leone;Suspected;2;14-09-14;;;;;
Sierra Leone;All;74;14-09-14;;;;;
Guinea;Confirmed;59;21-09-14;;;;;
Guinea;Probable;8;21-09-14;;;;;
Guinea;Suspected;0;21-09-14;;;;;
Guinea;All;67;21-09-14;;;;;
Liberia;Confirmed;69;21-09-14;;;;;
Liberia;Probable;85;21-09-14;;;;;
Liberia;Suspected;28;21-09-14;;;;;
Liberia;All;182;21-09-14;;;;;
Nigeria;Confirmed;11;21-09-14;;;;;
Nigeria;Probable;0;21-09-14;;;;;
Nigeria;Suspected;0;21-09-14;;;;;
Nigeria;All;11;21-09-14;;;;;
Sierra Leone;Confirmed;110;21-09-14;;;;;
Sierra Leone;Probable;2;21-09-14;;;;;
Sierra Leone;Suspected;1;21-09-14;;;;;
Sierra Leone;All;113;21-09-14;;;;;
Guinea;Confirmed;59;28-09-14;;;;;
Guinea;Probable;8;28-09-14;;;;;
Guinea;Suspected;0;28-09-14;;;;;
Guinea;All;67;28-09-14;;;;;
Liberia;Confirmed;73;28-09-14;;;;;
Liberia;Probable;88;28-09-14;;;;;
Liberia;Suspected;24;28-09-14;;;;;
Liberia;All;185;28-09-14;;;;;
Nigeria;Confirmed;11;28-09-14;;;;;
Nigeria;Probable;0;28-09-14;;;;;
Nigeria;Suspected;0;28-09-14;;;;;
Nigeria;All;11;28-09-14;;;;;
Sierra Leone;Confirmed;111;28-09-14;;;;;
Sierra Leone;Probable;2;28-09-14;;;;;
Sierra Leone;Suspected;1;28-09-14;;;;;
Sierra Leone;All;114;28-09-14;;;;;
Guinea;Confirmed;68;12-10-14;;;;;
Guinea;Probable;8;12-10-14;;;;;
Guinea;Suspected;0;12-10-14;;;;;
Guinea;All;76;12-10-14;;;;;
Liberia;Confirmed;78;12-10-14;;;;;
