dsID,region,indID,period,value,is_number,source
fts,AFG,FY010,1999,0.0,1,""
fts,AFG,FY020,1999,0.0,1,""
fts,AFG,FY040,1999,0.0,1,""
fts,AFG,FA010,1999,0.0,1,""
fts,AFG,FA140,1999,0.0,1,""
fts,AFG,FY010,2000,0.0,1,""
fts,AFG,FY020,2000,0.0,1,""
fts,AFG,FY040,2000,0.0,1,""
fts,AFG,FA010,2000,0.0,1,""
fts,AFG,FA140,2000,0.0,1,""
fts,AFG,FY010,2001,0.0,1,""
fts,AFG,FY020,2001,0.0,1,""
fts,AFG,FY040,2001,2053268.0,1,""
fts,AFG,FA010,2001,0.0,1,""
fts,AFG,FA140,2001,2053268.0,1,""
fts,AFG,FY010,2002,1763894630.0,1,""
fts,AFG,FY020,2002,1780509639.0,1,""
fts,AFG,FY040,2002,1196693956.0,1,""
fts,AFG,FA010,2002,1780509639.0,1,""
fts,AFG,FA140,2002,1196693956.0,1,""
fts,AFG,FY010,2003,1995143982.0,1,""
fts,AFG,FY020,2003,1995143982.0,1,""
fts,AFG,FY040,2003,313948366.0,1,""
fts,AFG,FA010,2003,0.0,1,""
fts,AFG,FA140,2003,0.0,1,""
fts,AFG,FY010,2004,72841021.0,1,""
fts,AFG,FY020,2004,72841021.0,1,""
fts,AFG,FY040,2004,26511074.0,1,""
fts,AFG,FA010,2004,0.0,1,""
fts,AFG,FA140,2004,0.0,1,""
fts,AFG,FY010,2005,0.0,1,""
fts,AFG,FY020,2005,0.0,1,""
fts,AFG,FY040,2005,0.0,1,""
fts,AFG,FA010,2005,0.0,1,""
fts,AFG,FA140,2005,0.0,1,""
fts,AFG,FY010,2006,76391754.0,1,""
fts,AFG,FY020,2006,119769805.0,1,""
fts,AFG,FY040,2006,63620911.0,1,""
fts,AFG,FA010,2006,0.0,1,""
fts,AFG,FA140,2006,0.0,1,""
fts,AFG,FY010,2007,0.0,1,""
fts,AFG,FY020,2007,0.0,1,""
fts,AFG,FY040,2007,0.0,1,""
fts,AFG,FA010,2007,0.0,1,""
fts,AFG,FA140,2007,0.0,1,""
fts,AFG,FY010,2008,485640982.0,1,""
fts,AFG,FY020,2008,485640982.0,1,""
fts,AFG,FY040,2008,276990888.0,1,""
fts,AFG,FA010,2008,0.0,1,""
fts,AFG,FA140,2008,0.0,1,""
fts,AFG,FY010,2009,603981153.0,1,""
fts,AFG,FY020,2009,664923055.0,1,""
fts,AFG,FY040,2009,507723836.0,1,""
fts,AFG,FA010,2009,664923055.0,1,""
fts,AFG,FA140,2009,507723836.0,1,""
fts,AFG,FY010,2010,870561261.0,1,""
fts,AFG,FY020,2010,774508310.0,1,""
fts,AFG,FY040,2010,505299903.0,1,""
fts,AFG,FA010,2010,774508310.0,1,""
fts,AFG,FA140,2010,505299903.0,1,""
fts,AFG,FY010,2011,678632984.0,1,""
fts,AFG,FY020,2011,582318627.0,1,""
fts,AFG,FY040,2011,422818462.0,1,""
fts,AFG,FA010,2011,582318627.0,1,""
fts,AFG,FA140,2011,422818462.0,1,""
fts,AFG,FY010,2012,437140634.0,1,""
fts,AFG,FY020,2012,448551322.0,1,""
fts,AFG,FY040,2012,222685419.0,1,""
fts,AFG,FA010,2012,448551322.0,1,""
fts,AFG,FA140,2012,222685419.0,1,""
fts,AFG,FY010,2013,471463529.0,1,""
fts,AFG,FY020,2013,474428380.0,1,""
fts,AFG,FY040,2013,348681251.0,1,""
fts,AFG,FA010,2013,474428380.0,1,""
fts,AFG,FA140,2013,348681251.0,1,""
fts,AFG,FY010,2014,406429895.0,1,""
fts,AFG,FY020,2014,406429895.0,1,""
fts,AFG,FY040,2014,255886266.0,1,""
fts,AFG,FA010,2014,0.0,1,""
fts,AFG,FA140,2014,0.0,1,""
fts,AFG,FY010,2015,0.0,1,""
fts,AFG,FY020,2015,0.0,1,""
fts,AFG,FY040,2015,0.0,1,""
fts,AFG,FA010,2015,0.0,1,""
fts,AFG,FA140,2015,0.0,1,""
fts,AFG,FY190,1999,0.0,1,""
fts,AFG,FY200,1999,0.0,1,""
fts,AFG,FY210,1999,0.0,1,""
fts,AFG,FY190,2000,0.0,1,""
fts,AFG,FY200,2000,0.0,1,""
fts,AFG,FY210,2000,0.0,1,""
fts,AFG,FY190,2001,19496.0,1,""
fts,AFG,FY200,2001,0.0,1,""
fts,AFG,FY210,2001,2033772.0,1,""
fts,AFG,FY190,2002,87834041.0,1,""
fts,AFG,FY200,2002,0.0,1,""
fts,AFG,FY210,2002,1108859915.0,1,""
fts,AFG,FY190,2003,14171054.0,1,""
fts,AFG,FY200,2003,30000.0,1,""
fts,AFG,FY210,2003,227297659.0,1,""
fts,AFG,FY190,2004,0.0,1,""
fts,AFG,FY200,2004,0.0,1,""
fts,AFG,FY210,2004,26511074.0,1,""
fts,AFG,FY190,2005,0.0,1,""
fts,AFG,FY200,2005,0.0,1,""
fts,AFG,FY210,2005,0.0,1,""
fts,AFG,FY190,2006,0.0,1,""
fts,AFG,FY200,2006,0.0,1,""
fts,AFG,FY210,2006,59620911.0,1,""
fts,AFG,FY190,2007,0.0,1,""
fts,AFG,FY200,2007,0.0,1,""
fts,AFG,FY210,2007,0.0,1,""
fts,AFG,FY190,2008,602563.0,1,""
fts,AFG,FY200,2008,0.0,1,""
fts,AFG,FY210,2008,213638325.0,1,""
fts,AFG,FY190,2009,27914513.0,1,""
fts,AFG,FY200,2009,72394.0,1,""
fts,AFG,FY210,2009,479736929.0,1,""
fts,AFG,FY190,2010,28173668.0,1,""
fts,AFG,FY200,2010,0.0,1,""
fts,AFG,FY210,2010,477126235.0,1,""
fts,AFG,FY190,2011,21108674.0,1,""
fts,AFG,FY200,2011,0.0,1,""
fts,AFG,FY210,2011,401709788.0,1,""
fts,AFG,FY190,2012,31410680.0,1,""
fts,AFG,FY200,2012,0.0,1,""
fts,AFG,FY210,2012,191274739.0,1,""
fts,AFG,FY190,2013,91834618.0,1,""
fts,AFG,FY200,2013,7281198.0,1,""
fts,AFG,FY210,2013,235023688.0,1,""
fts,AFG,FY190,2014,74880058.0,1,""
fts,AFG,FY200,2014,165517.0,1,""
fts,AFG,FY210,2014,174601221.0,1,""
fts,AFG,FY190,2015,0.0,1,""
fts,AFG,FY200,2015,0.0,1,""
fts,AFG,FY210,2015,0.0,1,""
fts,AFG,FY240,1999,0.0,1,""
fts,AFG,FY360,1999,0.0,1,""
fts,AFG,FY370,1999,0.0,1,""
fts,AFG,FY380,1999,0.0,1,""
fts,AFG,FY500,1999,0.0,1,""
fts,AFG,FY510,1999,0.0,1,""
fts,AFG,FY520,1999,0.0,1,""
