Country,ISO3,Change in Score (2012 - 2013),Change in Score (2011 - 2012),Change in Score (2010 - 2011),Change in Score (2009 - 2010),Change in Score (2008 - 2009),Change in Score (2007 - 2008),Change in Score (2006 - 2007),Change in Score (2006 - 2013)
Iceland,ISL,0.0091,0.011,0.0034,0.022,0.0277,0.0164,0.0023,0.0918
Finland,FIN,-0.003,0.0068,0.0123,8.00E-04,0.0057,0.0151,0.0086,0.0463
Norway,NOR,0.0014,0,0,0.0177,-0.0011,0.018,0.0065,0.0423
Sweden,SWE,-0.003,0.0115,0.002,-0.0116,0,-7.00E-04,0.0014,-4.00E-04
Philippines,PHL,0.0075,0.0072,0.0031,0.0076,0.0011,-0.0061,0.0113,0.0316
Ireland,IRL,-0.0016,9.00E-04,0.0057,0.0177,0.0079,0.0061,0.0122,0.0488
New Zealand,NZL,-6.00E-04,-5.00E-04,2.00E-04,-0.0072,0.0021,0.021,0.014,0.029
Denmark,DNK,2.00E-04,-1.00E-04,0.0059,0.0091,0.009,0.0019,0.0057,0.0316
Switzerland,CHE,0.0063,0.0045,0.0065,0.0136,0.0066,0.0436,-0.0073,0.0739
Nicaragua,NIC,0.0018,0.0452,0.0069,0.0175,0.0255,0.0289,-0.0108,0.1149
Belgium,BEL,0.0031,0.0121,0.0022,0.0344,3.00E-04,-0.0035,0.012,0.0606
Latvia,LVA,0.0037,0.0174,-0.003,0.0013,0.0019,0.0064,0.0242,0.0519
Netherlands,NLD,-0.0051,0.0189,0.0026,-0.0046,0.0091,0.0016,0.0133,0.0359
Germany,DEU,-0.0046,0.0039,0.006,0.008,0.0055,-0.0224,0.0094,0.0058
Cuba,CUB,0.0122,0.0023,0.0142,0.0076,-0.0019,0.0026,NA,NA
Lesotho,LSO,-0.0078,-0.0058,-0.0012,0.0183,0.0176,0.0242,0.0271,0.0724
South Africa,ZAF,0.0015,0.0018,-0.0056,-0.0175,0.0477,0.0038,0.0069,0.0385
United Kingdom,GBR,7.00E-04,-0.0029,2.00E-04,0.0058,0.0036,-0.0075,0.0076,0.0075
Austria,AUT,0.0045,0.0226,0.0074,0.006,-0.0121,0.0092,0.0074,0.0451
Canada,CAN,0.0043,-0.0026,0.0035,0.0176,0.006,-0.0063,0.0034,0.026
Luxembourg,LUX,-0.003,0.0223,-0.0015,0.0342,0.0087,0.0016,0.0115,0.0738
Burundi,BDI,0.0059,0.0068,NA,NA,NA,NA,NA,NA
United States,USA,0.002,-0.0039,1.00E-04,0.0238,-6.00E-04,0.0177,-0.0039,0.0351
Australia,AUS,0.0096,3.00E-04,0.002,-0.0011,0.0041,0.0037,0.004,0.0226
Ecuador,ECU,0.0184,0.0171,-0.0037,-0.0148,0.0129,0.021,0.0448,0.0956
Mozambique,MOZ,-1.00E-04,0.0099,-0.0078,0.0134,-0.0071,0.0383,NA,NA
Bolivia,BOL,0.0118,0.036,0.0111,0.0058,0.0026,0.0093,0.0239,0.1004
Lithuania,LTU,0.0117,0.006,0,-0.0043,-0.0046,-0.0012,0.0157,0.0231
Barbados,BRB,0.007,0.0062,-6.00E-04,-0.006,0.0048,NA,NA,NA
Spain,ESP,-1.00E-04,-0.0314,0.0026,0.0209,0.0063,-0.0162,0.0125,-0.0053
Costa Rica,CRI,0.0017,-0.0042,0.0072,0.0014,0.0069,0.0097,0.0078,0.0305
Kazakhstan,KAZ,5.00E-04,0.0202,-0.0045,0.0043,0.0037,-6.00E-04,0.0054,0.029
Mongolia,MNG,0.0092,-0.0029,-0.0054,-0.0026,0.0171,0.0318,-0.009,0.0382
